SL NO,Plot No,MF,Name,FF,Name,Remarks,,Border rows flowered : 7/17  and 7/19,,
192,1192,20-Jul,c,22-Jul,c,,,,,
193,1193,21-Aug,c,na,c,,,,,
194,1194,18-Aug,c,21-Aug,c,,,,,
195,1195,23-Aug,c,25-Aug,c,,,,,
196,1196,20-Aug,c,27-Jul,c,Seggrigation in tassel color(2types),,,,
197,1197,21-Jul,c,25-Jul,c,,,,,
198,1198,26-Jul,c,10-Aug,c,,,,,
199,1199,18-Jul,c,23-Jul,c,,,,,
200,1200,3-Aug,c,19-Aug,c,,,,,
201,1201,27-Jul,c,30-Jul,c,,,,,
202,1202,11-Aug,w,12-Aug,w,,,,,
203,1203,19-Jul,c,20-Jul,c,,,,,
204,1204,27-Jul,c,30-Jul,c,,,,,
205,1205,18-Jul,c,22-Jul,c,,,,,
206,1206,29-Jul,c,2-Aug,c,,,,,
207,1207,27-Jul,c,3-Aug,c,,,,,
208,1208,27-Jul,c,2-Aug,c,top leaves & Tassels are dried(Burnt) due to high temp,,,,
209,1209,28-Jul,c,2-Aug,c,,,,,
210,1210,1-Aug,c,5-Aug,c,,,,,
211,1211,2-Aug,c,5-Aug,c,plot damged due to wild animals,,,,
212,1212,19-Jul,c,23-Jul,c,,,,,
213,1213,9-Aug,c,14-Aug,w,,,,,
214,1214,20-Jul,c,25-Jul,c,,,,,
215,1215,20-Jul,c,27-Jul,c,,,,,
216,1216,20-Jul,c,21-Jul,c,,,,,
217,1217,16-Jul,c,16-Jul,c,,,,,
218,1218,23-Jul,c,26-Jul,c,,,,,
219,1219,25-Jul,c,20-Aug,c,,,,,
220,1220,27-Jul,c,5-Aug,c,,,,,
221,1221,27-Jul,c,30-Jul,c,,,,,
222,1222,27-Jul,c,30-Jul,c,,,,,
223,1223,28-Jul,c,9-Aug,c,,,,,
224,1224,16-Jul,c,17-Jul,c,,,,,
225,1225,6-Aug,w,9-Aug,w,,,,,
226,1226,22-Jul,c,26-Jul,w,,,,,
227,1227,21-Jul,c,26-Jul,c,,,,,
228,1228,28-Jul,c,2-Aug,c,,,,,
229,1229,20-Jul,c,23-Jul,c,,,,,
230,1230,7-Aug,c,14-Aug,w,,,,,
231,1231,27-Jul,c,3-Aug,c,top leaves & Tassels are dried(Burnt) due to high temp,,,,
232,1232,20-Jul,c,26-Jul,c,Tassels bent; may be due to anthers load on it,,,,
