Field ,Plot #,Row,Range,Ear Height 1,Flaf Leaf 1,Total Height1,Bottom internode1 ,Upper internode1,Ear Height2 ,Flaf Leaf2 ,Total Height2,Bottom internode2 ,Upper internode2,Person 
HYB-Hips ,4119,20,6,2.8,7,8.7,19.36,3,3,7.1,8.9,20.39,5,LL/KL
HYB-Hips ,4120,21,6,2.7,6.1,8.7,19.1,4,3.2,6.9,8.5,22.31,5,LL/KL
HYB-Hips ,4121,22,6,2.6,6.7,8.5,19.44,5,3,7,8.7,19.87,4,LL/KL
HYB-Hips ,4122,23,6,3.4,7,8.6,20.03,4,3.2,7.2,8.7,17.6,4,LL/KL
HYB-Hips ,4123,24,6,3.5,7.2,8.9,18.93,7,3.5,7.3,9.1,24.08,7,LL/KL
HYB-Hips ,4124,25,6,2.9,6.9,8.5,25.02,7,2.8,6.1,8.4,24.76,6,LL/KL
HYB-Hips ,4125,26,6,2.7,7,8.6,23.16,5,2.9,7.4,8.9,20.63,5,LL/KL
HYB-Hips ,4150,26,7,4.7,8.3,9.9,25.14,9,3.6,7.8,9.8,28.42,9,LL/KL
HYB-Hips ,4149,25,7,4.4,8.1,10.1,20.14,7,4.8,8.5,10.1,18.22,5,LL/KL
HYB-Hips ,4148,24,7,2.6,7,8.5,25.13,5,2.8,7.3,9,20.32,3,LL/KL
HYB-Hips ,4147,23,7,3.2,7.8,9.6,22.76,6,3.1,8.4,10.2,23.49,5,LL/KL
HYB-Hips ,4146,22,7,3.2,7.5,9.4,19.15,6,3.2,7.5,9.4,17.26,3,LL/KL
HYB-Hips ,4145,21,7,3.4,7.7,9.1,21.1,5,4.2,7.6,8.7,16.07,4,LL/KL
HYB-Hips ,4144,20,7,3.6,7.9,9.4,25.32,5,3.4,7.2,9,18.11,5,LL/KL
HYB-Hips ,4143,19,7,5,9.2,10.6,23.15,8,4.6,8.7,10,24.52,7,LL/KL
HYB-Hips ,4142,18,7,2.5,6,8.1,21,3,3.5,6.8,8.5,19,4,LL/KL
HYB-Hips ,4141,17,7,4.1,8.2,10.2,27.55,4,4.4,8.2,10,24.81,5,LL/KL
HYB-Hips ,4140,16,7,3,6.6,8.1,19.88,2,2.8,6.5,8.1,29.44,5,LL/KL
HYB-Hips ,4139,15,7,3.2,7.1,8.7,18.47,2,2.4,7,8.6,18,4,LL/KL
HYB-Hips ,4138,14,7,3.1,7.2,8.6,22.85,2,2.7,6.8,8.8,25.14,5,LL/KL
HYB-Hips ,4137,13,7,3.4,7.4,9.2,23.12,2,2.9,7.3,8.9,16.66,4,LL/KL
HYB-Hips ,4136,12,7,3.1,7.3,9,18.22,2,2.9,7.6,9.2,18.23,4,LL/KL
HYB-Hips ,4135,11,7,3.3,6.5,7.9,13.55,2,2.9,6.7,8.2,22.04,5,LL/KL
HYB-Hips ,4134,10,7,4.2,7.9,10.1,24.35,3,3.6,8,10.2,23.38,7,LL/KL
HYB-Hips ,4133,9,7,3.4,7.3,9.2,25.54,3,3.1,7,9.2,24.73,3,LL/KL
HYB-Hips ,4132,8,7,2.8,6.4,8.2,21.19,3,3.4,6.8,8.9,22.58,4,LL/KL
HYB-Hips ,4131,7,7,3.4,6.8,8.4,26.68,3,3.3,7,8.6,21.46,6,LL/KL
HYB-Hips ,4130,6,7,2.9,7.3,9.5,18.83,3,3.2,6.8,8.6,17.5,6,LL/KL
HYB-Hips ,4129,5,7,3.7,7.2,9.2,25.73,3,3.5,7.2,9.2,24.11,4,LL/KL
HYB-Hips ,4128,4,7,3.2,7.1,8.8,14.64,2,2.9,6.9,8.9,18,3,LL/KL
HYB-Hips ,4127,3,7,3.1,7.8,9.5,25.07,3,3.7,8.2,8.8,20.01,5,LL/KL
HYB-Hips ,4126,2,7,3,7,8.5,21.87,3,3,7,8.8,21.01,4,LL/KL
HYB-Hips ,4151,2,8,2.6,6.5,8.4,19.82,5,2.8,6.4,8.3,27.54,6,LL/KL
HYB-Hips ,4152,3,8,3.4,6.8,8.6,18.92,5,2.9,6.7,8.4,15.65,5,LL/KL
HYB-Hips ,4153,4,8,4.7,8.2,9.4,26.97,8,5.5,8.5,10.3,29.92,8,LL/KL
HYB-Hips ,4154,5,8,2.9,7,8.9,18.56,8,2.9,7.3,9.2,20.83,6,LL/KL
HYB-Hips ,4155,6,8,4.2,8.3,10.2,24.1,6,3.9,8.1,10.1,19.6,5,LL/KL
HYB-Hips ,4156,7,8,4,8.7,10.7,20.81,4,4,8.1,10.1,23.8,7,LL/KL
HYB-Hips ,4157,8,8,3.7,8,9.7,18.76,6,4.3,7.7,9.3,20.11,6,LL/KL
HYB-Hips ,4158,9,8,5.02,9.1,10.8,26,6,5.5,9.3,11.1,23.53,8,LL/KL
HYB-Hips ,4159,10,8,3.1,8,9.8,21.02,6,3.3,7.3,9.1,23.91,6,LL/KL
HYB-Hips ,4160,11,8,1.7,6.6,8.2,19.05,5,2.1,6.8,8.3,17.49,6,LL/KL
HYB-Hips ,4161,12,8,4,7.6,9.2,22.35,6,3,7.4,9.6,21.7,8,LL/KL
HYB-Hips ,4162,13,8,4.4,8.4,10.5,23.41,6,4.3,8,9.9,21.43,7,LL/KL
HYB-Hips ,4163,14,8,3,6.1,8.1,22.5,6,2.9,6.5,8.1,25.23,8,LL/KL
HYB-Hips ,4164,15,8,3.1,6,7.2,22.38,5,3.2,6.1,7.4,20.5,6,LL/KL
HYB-Hips ,4165,16,8,3.5,7.2,8.9,18.15,5,3,7.3,9,18.05,5,LL/KL
HYB-Hips ,4166,17,8,3,7,8.8,22.68,6,3.3,7.1,8.8,18.47,6,LL/KL
HYB-Hips ,4167,18,8,3.3,7.7,9.5,22.94,7,3.3,7.1,8.9,25.15,8,LL/KL
