Sample ID,Date,Time,,Moisture,Protein As is,Oil As is,Fiber As is,Ash As is,Starch As is
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6101Row2$Range28$@LH195 x PHM49,12/13/2023,1:14 PM,,5.84,9.89,4.05,0.98,1.1,66.02
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5219Row20$Range21$@PHP02 x PHB47,12/13/2023,1:15 PM,,5.31,11.11,3.61,1.32,1.18,62.83
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5219Row20$Range21$@PHP02 x PHB47,12/13/2023,1:16 PM,,5.53,11.18,3.38,1.48,1.09,63.05
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5219Row20$Range21$@PHP02 x PHB47,12/13/2023,1:16 PM,,5.37,11.23,3.55,1.32,1.1,61.75
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6227Row3$Range33$@PHK76 x 3IIH6,12/13/2023,1:17 PM,,5.54,9.91,3.79,0.98,1.14,63.5
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6227Row3$Range33$@PHK76 x 3IIH6,12/13/2023,1:18 PM,,5.4,9.4,3.72,1.07,1.2,63.59
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6227Row3$Range33$@PHK76 x 3IIH6,12/13/2023,1:18 PM,,5.43,9.99,4.03,0.87,1.15,63.09
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6177Row3$Range31$@PHN46 x PHK56,12/13/2023,1:19 PM,,5.42,9.73,3.21,1.5,1.23,63.21
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6177Row3$Range31$@PHN46 x PHK56,12/13/2023,1:20 PM,,5.77,9.64,3.95,0.91,1.07,65.02
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6177Row3$Range31$@PHN46 x PHK56,12/13/2023,1:20 PM,,6.13,9.16,3.32,1.26,1.11,63.35
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4040Row16$Range3$@66 x I159,12/13/2023,1:21 PM,,5.61,9.12,3.26,1.43,0.99,63.86
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4040Row16$Range3$@66 x I159,12/13/2023,1:21 PM,,5.16,9.55,3.55,1.2,0.93,64.64
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4040Row16$Range3$@66 x I159,12/13/2023,1:22 PM,,5.56,9.54,3.19,1.39,1,63.83
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4126Row2$Range7$@Syngenta NK0760-3111,12/13/2023,1:23 PM,,5.34,8.11,3.52,2.23,1.45,65.23
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4126Row2$Range7$@Syngenta NK0760-3111,12/13/2023,1:23 PM,,5.65,8,3.66,2.03,1.4,66.79
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4126Row2$Range7$@Syngenta NK0760-3111,12/13/2023,1:24 PM,,6.06,8.04,3.15,2.38,1.41,65.34
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4166Row17$Range8$@LH198 x PHB47,12/13/2023,1:25 PM,,5.49,9.23,3.49,1.58,1,63.43
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4166Row17$Range8$@LH198 x PHB47,12/13/2023,1:26 PM,,5.25,9.06,3.75,1.12,0.94,64.35
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4166Row17$Range8$@LH198 x PHB47,12/13/2023,1:26 PM,,5.28,9.45,3.54,1.59,0.99,63.33
