genotype	earHt.sp	flagLeafHt.sp	tasselTipHt.sp	combineMoisture.sp	combineTestWt.sp	earLen.sp	earFillLen.sp	earWidth.sp	shelledCobWidth.sp	shelledCobWt.sp	shelledCobLen.sp	kernelsPerEar.sp	moistureCorrectedStarch.sp	moistureCorrectedProtein.sp	moistureCorrectedOil.sp	moistureCorrectedFiber.sp	moistureCorrectedAsh.sp	yieldPerAc.sp	GDDToAnthesis.sp	GDDToSilking.sp	kernelsPerRow.sp	kernelRows.sp	moistureCorrectedKernelMass.sp	moistureCorrectedHundredKernelWt.sp	ASI.GDD.sp
PHB47 X 3IIH6	0.869383400352047	1.98595401277048	1.00711799059771	-0.0434676298598785	0.0750825765312469	0.0827925971535997	-0.153909044949034	-0.0420265037894565	-0.0442269180186173	-0.00844653194092956	-0.0998791874918668	2.87615163669753	0.35799199192221	0.206973344399969	0.227556078146839	-0.339722133739525	-0.00382844687048668	2.56350011258343	1.88452292923096	2.16495213508524	0.129246942867116	0.653626139787368	1.37592294876856	0.149289085135804	1.01309288123296
PHB47 X LH185	0.7041094790189	1.77532783282563	0.817569940712884	0.027767242939616	0.0248540437270779	0.0197375078644403	-0.0499149047139328	-0.0868392097123911	0.01071973154118	-0.304486444055335	-0.332683283234117	3.11001537553401	0.523569842975316	0.12762592987609	0.215129695282032	-0.367037597111356	0.0950202396679812	2.05350245155268	1.4968522253842	2.265719613795	-0.0595651253068639	-3.04817162036493	1.28632351576003	-0.0592887009428721	1.76317730478286
PHB47 X PHJ89	1.01998633759965	2.31314942571015	0.47238026194198	-0.0990711778591549	-0.0283275460031671	0.41519163934903	0.17766291063214	-0.0275129007739248	0.157980667023998	0.204498953560678	0.236487868979697	3.25796591427615	-0.00841261898075569	0.0582244969328722	-0.197942604765516	0.233004765825727	0.0703241430229571	2.24330253970074	1.58493781637821	2.37539171919143	0.214137829409083	-2.03341200105974	1.59356433918003	0.104862780631304	1.92857052502507
PHB47 X PHK56	0.870136554422618	2.05485188083242	0.62953263326511	-0.0193923161484157	-0.061188291217136	-0.083067845630462	0.163638635668598	0.12318763359995	0.449784136974786	0.134504361083827	0.138087575670077	3.07218995641196	0.297903845031477	0.223606091334078	-0.0513123815553315	-0.207007997349165	-0.00977438854530912	2.08388393665751	0.435939784947879	2.54987855601812	0.213844293282864	-1.49213457227659	1.67558180754337	0.257935829136493	0.767653008171779
PHG39 X PHM49	1.17671096186898	2.0918189123343	1.74768068590366	0.259925066977236	0.0506200429946899	-0.206756288637298	0.163574786232658	0.0176034852253876	0.228795121563709	0.336788728361899	0.317315614583622	3.60850688230576	-0.174137985571064	-0.115454881130123	-0.14850679286772	0.0260308631448143	-0.00524320629647869	2.19887154974776	2.91211218033826	4.20533635609291	0.451410298398552	-0.312694745305727	1.66515779050837	0.0595291242553499	1.9009365478931
PHG39 X PHN82	0.956751383355157	2.07865086294638	0.440582619250993	0.327227177283327	0.0830617535468989	0.0504455631541661	0.0203248232808948	0.0055216056292382	-0.0186623629904406	0.23018099917519	-0.0141125294369048	2.94434198038787	-0.143507565944493	-0.0591995684568819	-0.232520768233966	0.258122610060197	-0.0308817446914184	2.08477972956461	2.68339006783803	2.85968348525868	0.0986224808364453	-0.71410432425177	1.36632188888478	0.0247088747197592	0.525135502724086
PHJ40 X LH82	0.815547536302426	1.99207696548613	0.30237422572275	0.0105538379629476	-0.340686102942677	-0.261293119203995	0.0275647201726072	0.0486910390267802	0.0569574866949797	0.0924259057016354	0.0825631876552037	2.50377907283276	0.308017753670338	0.273402007263126	-0.0983681808087841	0.207217555560073	-0.00519426503880976	1.64026622316145	2.21299798030109	3.10979647610454	0.148260168686416	0.577003008129102	1.27581732755275	0.0496365843700861	0.878352285199703
PHK56 X 3IIH6	1.01827267474174	2.12500028381768	1.07282208511891	0.0130004630868124	-0.0415541367124486	0.388071433688579	0.0847793644281587	0.029332855333625	0.164752832332294	0.276026566279084	0.153624461575965	2.79981306982323	0.361338487069205	0.0209886981546705	0.371903897020972	-0.0818562154646166	0.0718566674423545	2.35525716767735	2.18976510570806	1.92359211711158	0.224675446333064	-0.218489332576704	1.63755655115239	0.380234829174813	1.56144335582708
PHK56 X LH145	0.974582249074086	2.16168609690554	0.392802976027718	-0.238755680097709	-0.00601570704354671	0.0778083479092137	0.133593226303792	0.0112541010163356	-0.00711272630866608	0.226964934042309	0.0550082674482363	3.15524959015682	-0.0839167636118467	-0.0515776413857419	0.202920320165474	-0.123524247345053	0.0183310586103491	2.20180392352656	2.31716141235761	3.23014108853892	0.109776636634523	-0.0938901941850427	1.69472066512441	0.10616657862138	-0.0708608978834274
PHK56 X LH185	0.903505714660508	2.07587329517117	1.03708560998581	0.171892725804657	0.350312978564948	-0.267617366793218	0.140097996198761	0.0920441502855357	0.210358095420087	-0.126535626839214	0.0797942270624129	3.15406685887835	0.247708507995904	0.0693779937433874	0.48201181280117	-0.494197697711848	0.0395843819991458	2.40495455061577	2.46434721667393	2.99598087713701	-0.00406322123052665	-2.46588277232005	1.61743935602557	0.22432336758916	1.14259145286733
PHK56 X LH198	0.701237447602522	1.88415568241655	0.556996399305682	0.111668762573342	0.0859090962610036	-0.243033578889733	0.338212045270274	0.1016984429633	0.191570934146711	0.384933417821455	0.392945343907589	3.23696489000641	0.124980897121097	0.162388457236001	-0.0335056487512301	-0.00114118698014424	-0.0130213208528037	2.54416007159636	2.24312641622971	5.02411664672131	0.387208537477337	0.61197364299719	1.82913054507012	0.320991147013	3.66287371421341
PHK56 X LH82	0.805926253150776	1.86249892819643	0.603070703980406	-0.0576762113655784	-0.0268824107562619	0.0492669079585844	0.175219364716204	-0.000422960837692363	-0.0307162149631113	0.196435465001927	0.0627941692654697	3.02442247891205	0.0164214719758275	0.0423724140527104	0.0237568562145712	0.210089185339513	0.0474717033306366	1.89953918029972	2.06050259233184	2.14030764242331	0.157808620106201	2.96889355737785	1.46068696896944	0.0149113481404791	2.28177347570842
PHK56 X PHJ89	0.926651388234286	1.81588804194778	0.67213883894186	0.144877422670244	0.113360149248481	-0.272301053249133	-0.0645113032458709	-0.0851992826991415	0.12329927614213	-0.104409623022321	-0.139329695345105	2.19820916705796	-0.0480656794351816	0.0558341889513982	0.172163217813396	0.195151506156832	-0.0279075797072617	2.09030324131428	2.69035813037827	3.17811085428724	0.0182440904436995	-0.0354145131351849	1.09198366163717	0.0199522883066886	1.90125300063328
PHK56 X W606S	1.12344591594836	2.08480684985778	1.17270898718205	0.137650681753779	-0.00841128465309553	-0.166735519510929	-0.105885654569258	0.135608140983455	0.0834144610862731	0.410693480968951	0.287336463044723	3.80744866920019	-0.0948200237223483	-0.170578226226238	0.082523045236822	0.0156217681906831	-0.0415006270781355	2.36297832970891	1.8686661883772	3.19666425684054	0.226202234669701	-0.153958197898612	1.86411876606388	0.362143362378258	1.49788484408907
PHK76 X 3IIH6	1.0852159795652	2.23385404793812	1.3158385415866	-0.238865289235828	-0.205672594242473	0.269322243213397	-0.429479263682532	-0.169224971793162	-0.265113149742551	-0.211351621455867	-0.228629365147426	1.79823489442984	0.022235964570169	-0.155810931891238	0.25603170381554	0.383951346147541	-0.0146166177660244	1.9256904652476	2.61084809258526	2.33349794841169	-0.112943089323468	-0.329852594459177	0.930621292784008	-0.0319316494094251	0.816715041440055
PHK76 X LH145	1.01522743321471	2.0300869460339	0.522839900310358	-0.107023102291796	-0.36978573439481	0.0344826723735191	0.0751109190899455	-0.134459889865435	-0.129088379222261	0.0706792847395842	0.149289698784841	2.82395985546895	0.0687335383889299	0.164264933521153	-0.162455172136165	0.240339973773048	0.0820038169489613	1.6576256708096	3.12230192770309	3.72441504895749	0.311784088024289	-2.60312884140096	1.42933665367623	0.126529105516647	1.29495437929455
PHK76 X LH198	0.813051425029705	1.98599268843993	0.0678404034321055	0.1740128392386	-0.21597787799388	0.0838979443127465	0.239299807739002	0.092804813349447	-0.0102349843422027	0.299024659760228	0.214106432333731	3.24641560468839	-0.17898030525965	-0.0385928410412088	-0.271945831806878	0.386817161140745	0.0661639133237774	2.18290527323973	2.60094771031698	3.50295159349419	0.174698092655934	-2.87561586547822	1.40947514049763	0.382648019688722	0.0586724562440367
PHK76 X LH82	0.85507526759933	1.93979226573089	1.26975147766316	-0.0210109927107747	-0.262248975705327	0.1884448252255	0.233730104124216	-0.000518081915361058	-0.0822552094288391	-0.00222990954261977	0.0101190616342404	2.43577759106038	-0.171870192377332	-0.057932964751051	0.000661541374205309	0.301147098261498	-0.0273091034589864	1.93297113145844	2.81815624529116	2.73407886533113	0.195425948734809	-0.155113474446471	1.22040516599082	0.124213253463259	1.22419251081924
PHK76 X W606S	0.995482559249867	1.91952204604967	-0.0619472416086209	0.0353575189271676	-0.325392805284341	0.342595083281586	0.0903490097791335	0.00136549784624011	-0.0647504168607765	0.141390828253954	0.104525817852605	3.23928508957763	-0.172010278039112	-0.083725161473659	-0.123343742690507	0.285036929924163	0.0397022908543161	1.88115793447959	2.60145386574857	3.05508245576994	0.0968673493064365	-2.30942692114453	1.23757991946011	0.192114815538614	0.788830457693263
PHN46 X PHB47	0.947677608038799	2.05315969795462	0.422493301270053	0.079673890213764	0.104444909469594	-0.0482121522060556	0.334749240310468	-0.0109812349518796	-0.110291430754866	0.0905434453704005	0.0175778489409017	2.90550091002041	-0.0141973602169466	-0.0754759584125993	-0.0542526953108127	0.192853145830464	0.0876823252108488	2.28030946723858	2.01499452882774	2.48454167892594	0.347175723415892	-2.049684526373	1.44162999841183	0.289035815599756	1.79504264103455
PHN46 X PHK56	0.945701830224229	1.98327885672622	0.249984339653655	-0.0133950533092772	0.209805899303082	-0.168007503898403	0.612299056709089	0.0651115066085739	0.214187842350166	0.412052588611929	0.404255381981647	4.06385125785072	-0.00706316357361204	-0.0737820419851165	0.24430729732705	0.0861761550398062	0.101935482340637	2.20236556606268	1.65629995485792	3.27222791557361	0.378258427523808	0.303861440282355	2.04214693354238	0.278430417355051	0.526947394724137
