date,minTemp,maxTemp,GDD,location,lat,lon,tmin,tmax
2022-08-03,59.8,94.3,22.9,North Platte3,NA,NA,NA,NA
2022-08-04,57.7,91.4,21.85,North Platte3,NA,NA,NA,NA
2022-08-05,70.8,97.2,28.4,North Platte3,NA,NA,NA,NA
2022-08-06,68.2,89.7,27.1,North Platte3,NA,NA,NA,NA
2022-08-07,59.4,74.2,16.8,North Platte3,NA,NA,NA,NA
2022-08-08,48.6,88.8,18,North Platte3,NA,NA,NA,NA
2022-08-09,58.6,94.2,22.3,North Platte3,NA,NA,NA,NA
2022-08-10,58.2,99.7,22.1,North Platte3,NA,NA,NA,NA
2022-08-11,58,97.1,22,North Platte3,NA,NA,NA,NA
2022-08-12,59.7,101.3,22.85,North Platte3,NA,NA,NA,NA
2022-08-13,59.7,95.2,22.85,North Platte3,NA,NA,NA,NA
2022-08-14,66.3,93.7,26.15,North Platte3,NA,NA,NA,NA
2022-08-15,65.3,90.1,25.65,North Platte3,NA,NA,NA,NA
2022-08-16,62.1,70.1,16.1,North Platte3,NA,NA,NA,NA
2022-08-17,60.2,79.1,19.65,North Platte3,NA,NA,NA,NA
2022-08-18,53.2,94.4,19.6,North Platte3,NA,NA,NA,NA
2022-08-19,54.6,87.3,20.3,North Platte3,NA,NA,NA,NA
2022-08-20,49.3,86.9,18,North Platte3,NA,NA,NA,NA
2022-08-21,53.2,89.3,19.6,North Platte3,NA,NA,NA,NA
2022-08-22,53.4,92.7,19.7,North Platte3,NA,NA,NA,NA
2022-08-23,53.1,95,19.55,North Platte3,NA,NA,NA,NA
2022-08-24,54.1,95.8,20.05,North Platte3,NA,NA,NA,NA
2022-08-25,61.2,95.3,23.6,North Platte3,NA,NA,NA,NA
2022-08-26,60.5,91.9,23.25,North Platte3,NA,NA,NA,NA
2022-08-27,64.3,94.4,25.15,North Platte3,NA,NA,NA,NA
2022-08-28,57.4,103,21.7,North Platte3,NA,NA,NA,NA
2022-08-29,54,92.1,20,North Platte3,NA,NA,NA,NA
2022-08-30,49,96.1,18,North Platte3,NA,NA,NA,NA
2022-08-31,56.6,101.2,21.3,North Platte3,NA,NA,NA,NA
2022-09-01,50.4,94.4,18.2,North Platte3,NA,NA,NA,NA
2022-09-02,54.4,101.3,20.2,North Platte3,NA,NA,NA,NA
2022-09-03,49.2,87.9,18,North Platte3,NA,NA,NA,NA
2022-09-04,43.7,89.6,18,North Platte3,NA,NA,NA,NA
2022-09-05,47.4,95.5,18,North Platte3,NA,NA,NA,NA
2022-09-06,54.5,101.6,20.25,North Platte3,NA,NA,NA,NA
2022-09-07,48.2,98.2,18,North Platte3,NA,NA,NA,NA
2022-09-08,59.8,103.9,22.9,North Platte3,NA,NA,NA,NA
2022-09-09,53.2,75.6,14.4,North Platte3,NA,NA,NA,NA
2022-09-10,47.5,68.5,9.25,North Platte3,NA,NA,NA,NA
2022-09-11,38.2,80.8,15.4,North Platte3,NA,NA,NA,NA
2022-09-12,39.1,93.7,18,North Platte3,NA,NA,NA,NA
2022-09-13,42.8,94.1,18,North Platte3,NA,NA,NA,NA
2022-09-14,65.1,93.4,25.55,North Platte3,NA,NA,NA,NA
2022-09-15,63.4,87.8,24.7,North Platte3,NA,NA,NA,NA
2022-09-16,51.9,87.1,18.95,North Platte3,NA,NA,NA,NA
2022-09-17,54.3,88.1,20.15,North Platte3,NA,NA,NA,NA
2022-09-18,55.4,87,20.7,North Platte3,NA,NA,NA,NA
2022-09-19,55.7,99.7,20.85,North Platte3,NA,NA,NA,NA
2022-09-20,52,98,19,North Platte3,NA,NA,NA,NA
2022-09-21,51.3,65.4,8.35,North Platte3,NA,NA,NA,NA
2022-09-22,49.1,53.6,1.8,North Platte3,NA,NA,NA,NA
2022-09-23,48.6,83.1,16.55,North Platte3,NA,NA,NA,NA
2022-09-24,41.1,88,18,North Platte3,NA,NA,NA,NA
2022-09-25,41.3,80,15,North Platte3,NA,NA,NA,NA
2022-09-26,34.2,85.7,17.85,North Platte3,NA,NA,NA,NA
2022-09-27,40.6,81.3,15.65,North Platte3,NA,NA,NA,NA
2022-09-28,48.4,78.6,14.3,North Platte3,NA,NA,NA,NA
2022-09-29,47.8,85.5,17.75,North Platte3,NA,NA,NA,NA
2022-09-30,46.4,85,17.5,North Platte3,NA,NA,NA,NA
2022-10-01,46.7,86.4,18,North Platte3,NA,NA,NA,NA
2022-10-02,56.7,87.9,21.35,North Platte3,NA,NA,NA,NA
2022-10-03,52.5,76.3,14.4,North Platte3,NA,NA,NA,NA
2022-10-04,43.9,78,14,North Platte3,NA,NA,NA,NA
2022-10-05,40.2,78.1,14.05,North Platte3,NA,NA,NA,NA
2022-10-06,38.6,66.5,8.25,North Platte3,NA,NA,NA,NA
2022-10-07,36.4,44.4,0,North Platte3,NA,NA,NA,NA
2022-10-08,28.8,72.2,11.1,North Platte3,NA,NA,NA,NA
2022-10-09,31.6,79,14.5,North Platte3,NA,NA,NA,NA
2022-10-10,32,82,16,North Platte3,NA,NA,NA,NA
2022-10-11,45.5,86.5,18,North Platte3,NA,NA,NA,NA
2022-10-12,33.2,62.2,6.1,North Platte3,NA,NA,NA,NA
2022-10-13,33.9,65.4,7.7,North Platte3,NA,NA,NA,NA
2022-10-14,29.9,77.9,13.95,North Platte3,NA,NA,NA,NA
2022-10-15,39.7,77.2,13.6,North Platte3,NA,NA,NA,NA
2022-10-16,25,61.4,5.7,North Platte3,NA,NA,NA,NA
2022-10-17,20.7,63.5,6.75,North Platte3,NA,NA,NA,NA
2022-10-18,26.6,61.5,5.75,North Platte3,NA,NA,NA,NA
2022-10-19,22,78.1,14.05,North Platte3,NA,NA,NA,NA
2022-10-20,36.4,82,16,North Platte3,NA,NA,NA,NA
2022-10-21,34.9,82,16,North Platte3,NA,NA,NA,NA
2022-10-22,31.1,86.3,18,North Platte3,NA,NA,NA,NA
2022-10-23,37.2,86.8,18,North Platte3,NA,NA,NA,NA
2022-10-24,31.6,53.7,1.85,North Platte3,NA,NA,NA,NA
2022-10-25,22.6,66,8,North Platte3,NA,NA,NA,NA
2022-10-26,23,57.6,3.8,North Platte3,NA,NA,NA,NA
2022-10-27,37.6,54,2,North Platte3,NA,NA,NA,NA
2022-10-28,27.8,69.2,9.6,North Platte3,NA,NA,NA,NA
2022-10-29,29.4,69.8,9.9,North Platte3,NA,NA,NA,NA
2022-10-30,24.7,65.6,7.8,North Platte3,NA,NA,NA,NA
2022-10-31,24.8,71.7,10.85,North Platte3,NA,NA,NA,NA
NA,Inf,-Inf,18,North Platte3,NA,NA,NA,NA
2022-05-18,69.9,70.7,20.3,Lincoln,NA,NA,NA,NA
2022-06-16,66.3,87.2,26.15,Lincoln,NA,NA,NA,NA
2022-06-17,65.9,88.5,25.95,Lincoln,NA,NA,NA,NA
2022-06-18,74,95,30,Lincoln,NA,NA,NA,NA
2022-06-19,74.7,95.1,30.35,Lincoln,NA,NA,NA,NA
2022-06-20,77.5,96.2,31.75,Lincoln,NA,NA,NA,NA
2022-06-21,73.3,90.3,29.65,Lincoln,NA,NA,NA,NA
2022-06-22,63.4,89.5,24.7,Lincoln,NA,NA,NA,NA
2022-06-23,65.9,82.4,24.15,Lincoln,NA,NA,NA,NA
2022-06-24,70.6,82.3,26.45,Lincoln,NA,NA,NA,NA
2022-06-25,68.4,83.5,25.95,Lincoln,NA,NA,NA,NA
2022-06-26,56.8,80.5,18.65,Lincoln,NA,NA,NA,NA
2022-06-27,51.4,86.4,18.7,Lincoln,NA,NA,NA,NA
2022-06-28,61.3,89.6,23.65,Lincoln,NA,NA,NA,NA
2022-06-29,70.3,94.6,28.15,Lincoln,NA,NA,NA,NA
2022-06-30,72.7,95.8,29.35,Lincoln,NA,NA,NA,NA
2022-07-01,62.6,81.1,21.85,Lincoln,NA,NA,NA,NA
2022-07-02,60.8,82.8,21.8,Lincoln,NA,NA,NA,NA
2022-07-03,64.9,86.1,25.45,Lincoln,NA,NA,NA,NA
2022-07-04,73.2,92.8,29.6,Lincoln,NA,NA,NA,NA
2022-07-27,68.5,87.5,27.25,Lincoln,NA,NA,NA,NA
2022-07-28,58.4,82.1,20.25,Lincoln,NA,NA,NA,NA
