Person,QR Code,Ear #,Kernel Color,Ear Width,Kernel Fill Length,Kernel Row Number,Kernels per Row,Ear Weight,Kernel Count,Cob Width,Cob Length,Cob Weight,100 Kernel weight,Total Moisture
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1010$Row2$Range33$Hoegemeyer 8065RR,1,Yellow,4.5,18.5,16,45,230.47,632,2.5,18.5,22.37,33.23,4.62
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1010$Row2$Range33$Hoegemeyer 8065RR,2,Yellow,4,16,15,40,167.59,510,2.5,17.5,17.44,30.14,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1010$Row2$Range33$Hoegemeyer 8065RR,3,Yellow,4,19,14,43,220.35,614,2.5,19.5,20.06,34.44,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1010$Row2$Range33$Hoegemeyer 8065RR,4,Yellow,4.5,16,16,39,201.36,564,2.5,17.5,19.76,32.93,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1013$Row5$Range33$LH195 x LH123HT,1,Yellow,4,15,16,35,146.21,514,2.5,16,22.34,22.65,5.19
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1013$Row5$Range33$LH195 x LH123HT,2,Yellow,4,15.5,14,35,153.36,420,2.5,16.5,22.66,29.98,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1013$Row5$Range33$LH195 x LH123HT,3,Yellow,4,14.5,16,38,143.36,553,2.5,15.5,19.93,23.05,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1013$Row5$Range33$LH195 x LH123HT,4,Yellow,4,16,14,37,167.74,486,2.5,16.5,24.71,30.12,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1022$Row14$Range33$PHP02 x PHK56,1,Yellow,4,14,16,33,153.14,481,2.5,16,19.54,29.05,5.41
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1022$Row14$Range33$PHP02 x PHK56,2,Yellow,4,9.5,16,19,84.91,298,2.5,11,9.86,26.38,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1022$Row14$Range33$PHP02 x PHK56,3,Yellow,4,15,16,35,189.34,520,2.5,17.5,23.49,31.9,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1022$Row14$Range33$PHP02 x PHK56,4,Yellow,4,14,16,30,156.59,421,2.5,16.5,19.43,32.65,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1018$Row10$Range33$PHN46 x PHB47,1,Yellow,4,19,12,42,212.64,523,2.5,21,25.05,31.58,4.95
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1018$Row10$Range33$PHN46 x PHB47,2,Yellow,4,17.5,12,41,188.6,474,2.5,19,22.09,35.49,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1018$Row10$Range33$PHN46 x PHB47,3,Yellow,4,16.5,14,37,184.61,501,2.5,18.5,22.17,33.8,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1018$Row10$Range33$PHN46 x PHB47,4,Yellow,4.5,18.5,14,44,219.77,467,2.5,20.5,27.17,35.08,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1011$Row3$Range33$PHW52 x PHZ51,1,Yellow,4,15.5,14,37,170.12,509,2.5,17.5,23.85,29.94,4.98
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1011$Row3$Range33$PHW52 x PHZ51,2,Yellow,4,20,14,41,225.83,567,2.5,20.5,32.87,34.33,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1011$Row3$Range33$PHW52 x PHZ51,3,Yellow,4.5,13,16,32,166.66,462,2.5,15.5,21.89,31.13,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1011$Row3$Range33$PHW52 x PHZ51,4,Yellow,4,16,16,33,160.94,411,2.5,17.5,28.31,31.92,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1019$Row11$Range33$PHJ40 x LH82,1,Orange,3.5,15,14,30,114.51,423,2,15.5,14.78,23.95,4.92
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1019$Row11$Range33$PHJ40 x LH82,2,Orange,3.5,13.5,18,28,128.83,516,2.5,16.5,18.52,21.72,
